Nivel (pulgadas fraccionarias);Volumen lleno (galones estadounidenses)
77 7/8;9276.9
78    ;9290.96
78 1/8;9304.98
78 1/4;9318.97
78 3/8;9332.92
78 1/2;9346.84
78 5/8;9360.72
78 3/4;9374.56
78 7/8;9388.37
79    ;9402.14
79 1/8;9415.88
79 1/4;9429.58
79 3/8;9443.24
79 1/2;9456.86
79 5/8;9470.45
79 3/4;9483.99
79 7/8;9497.5
80    ;9510.97
80 1/8;9524.4
80 1/4;9537.79
80 3/8;9551.14
80 1/2;9564.46
80 5/8;9577.73
80 3/4;9590.96
80 7/8;9604.15
81    ;9617.3
81 1/8;9630.41
81 1/4;9643.48
81 3/8;9656.5
81 1/2;9669.49
81 5/8;9682.43
81 3/4;9695.33
81 7/8;9708.19
82    ;9721
82 1/8;9733.77
82 1/4;9746.49
82 3/8;9759.17
82 1/2;9771.81
82 5/8;9784.4
82 3/4;9796.95
82 7/8;9809.45
83    ;9821.91
83 1/8;9834.32
83 1/4;9846.68
83 3/8;9859
83 1/2;9871.26
83 5/8;9883.49
83 3/4;9895.66
83 7/8;9907.79
84    ;9919.86
84 1/8;9931.89
84 1/4;9943.87
84 3/8;9955.8
84 1/2;9967.68
84 5/8;9979.5
84 3/4;9991.28
84 7/8;10003.01
85    ;10014.68
85 1/8;10026.3
85 1/4;10037.87
85 3/8;10049.39
85 1/2;10060.85
85 5/8;10072.26
85 3/4;10083.62
85 7/8;10094.92
86    ;10106.16
86 1/8;10117.35
86 1/4;10128.49
86 3/8;10139.56
86 1/2;10150.58
86 5/8;10161.55
86 3/4;10172.45
86 7/8;10183.3
87    ;10194.08
87 1/8;10204.81
87 1/4;10215.48
87 3/8;10226.09
87 1/2;10236.63
87 5/8;10247.12
87 3/4;10257.54
87 7/8;10267.9
88    ;10278.2
88 1/8;10288.43
88 1/4;10298.59
88 3/8;10308.7
88 1/2;10318.73
88 5/8;10328.7
88 3/4;10338.61
88 7/8;10348.44
89    ;10358.21
89 1/8;10367.9
89 1/4;10377.53
89 3/8;10387.09
89 1/2;10396.57
89 5/8;10405.99
89 3/4;10415.33
89 7/8;10424.59
90    ;10433.79
90 1/8;10442.9
90 1/4;10451.94
90 3/8;10460.91
90 1/2;10469.79
90 5/8;10478.6
90 3/4;10487.32
90 7/8;10495.97
91    ;10504.53
91 1/8;10513.01
91 1/4;10521.41
91 3/8;10529.72
91 1/2;10537.95
91 5/8;10546.08
91 3/4;10554.13
91 7/8;10562.09
92    ;10569.96
92 1/8;10577.74
92 1/4;10585.42
92 3/8;10593.01
92 1/2;10600.5
92 5/8;10607.89
92 3/4;10615.18
92 7/8;10622.37
93    ;10629.46
93 1/8;10636.44
93 1/4;10643.31
93 3/8;10650.08
93 1/2;10656.73
93 5/8;10663.27
93 3/4;10669.7
93 7/8;10676
